iter	RMSE
0	15.939144
1	15.85069507
2	15.78768235
3	15.73181193
4	15.67180759
5	15.57874693
6	15.52425163
7	15.45652682
8	15.39457789
9	15.30933441
10	15.2205774
11	15.12649051
12	15.07277016
13	15.00485773
14	14.93295193
15	14.87925499
16	14.81447214
17	14.76596558
18	14.71745244
19	14.68398495
20	14.62672904
21	14.56720301
22	14.46776516
23	14.40355983
24	14.35514246
25	14.28379354
26	14.23764591
27	14.17355021
28	14.11590603
29	14.07653238
30	14.02600431
31	13.98359515
32	13.90804251
33	13.87330255
34	13.80452005
35	13.73940849
36	13.66543042
37	13.60436843
38	13.53620492
39	13.48895698
40	13.43298783
41	13.36427015
42	13.3244376
43	13.29068392
44	13.21144956
45	13.13591674
46	13.08705245
47	13.03100267
48	12.98091119
49	12.93435884
50	12.86547934
51	12.83151866
52	12.79488858
53	12.73627586
54	12.70471759
55	12.66788194
56	12.63645216
57	12.58042735
58	12.55468374
59	12.49875608
60	12.44404533
61	12.39246709
62	12.31861105
63	12.26891459
64	12.22177326
65	12.16398452
66	12.13183641
67	12.057496
68	12.00988343
69	11.96380269
70	11.9423604
71	11.88349462
72	11.84192136
73	11.79775001
74	11.77330246
75	11.7511403
76	11.7069411
77	11.67896284
78	11.63253292
79	11.58238328
80	11.54292295
81	11.51606951
82	11.48497531
83	11.43302857
84	11.39370963
85	11.35174013
86	11.31097665
87	11.26609935
88	11.23258019
89	11.19096496
90	11.14780863
91	11.1178195
92	11.07946625
93	11.02179796
94	10.96979128
95	10.93019972
96	10.89135346
97	10.84011322
98	10.81127674
99	10.78366575
100	10.72400351
101	10.66597046
102	10.58958396
103	10.55531502
104	10.51187113
105	10.46765679
106	10.4200003
107	10.39020157
108	10.35333119
109	10.29284033
110	10.24798954
111	10.21217517
112	10.15159278
113	10.10841439
114	10.06106069
115	10.0529567
116	10.02774868
117	9.97641985
118	9.915053252
119	9.878899062
120	9.826432495
121	9.79332814
122	9.753061126
123	9.726155951
124	9.691174318
125	9.652629934
126	9.627440537
127	9.582677686
128	9.549181151
129	9.507519266
130	9.465513102
131	9.46014085
132	9.437397915
133	9.369311271
134	9.306956423
135	9.261198967
136	9.235994274
137	9.193241685
138	9.18189558
139	9.14589388
140	9.098816744
141	9.064850124
142	9.040486678
143	9.015046896
144	8.977352858
145	8.952056148
146	8.929730272
147	8.907770992
148	8.846332993
149	8.806489322
150	8.773911694
151	8.73612058
152	8.710227906
153	8.66986288
154	8.632814915
155	8.589784112
156	8.552692027
157	8.511479153
158	8.484188471
159	8.431950579
160	8.412635784
161	8.388016145
162	8.370453813
163	8.351129841
164	8.311097363
165	8.265146516
166	8.238485855
167	8.222023057
168	8.173438124
169	8.162230338
170	8.123669942
171	8.089473665
172	8.065801861
173	8.034439067
174	8.000631784
175	7.97833831
176	7.964172067
177	7.93783174
178	7.914107871
179	7.881165652
180	7.863521048
181	7.848514021
182	7.834936554
183	7.80666082
184	7.785045165
185	7.736190028
186	7.726976694
187	7.685304877
188	7.644843099
189	7.627404438
190	7.61250212
191	7.597130789
192	7.559082794
193	7.557068105
194	7.528378161
195	7.492261626
196	7.469528701
197	7.455039015
198	7.444167009
199	7.398155322
