iter	Passed	Remaining
0	3	674
1	6	613
2	8	566
3	11	545
4	13	537
5	16	531
6	19	529
7	21	524
8	24	519
9	27	518
10	30	521
11	33	519
12	35	517
13	38	517
14	41	512
15	44	513
16	47	511
17	50	515
18	53	513
19	56	510
20	59	508
21	62	507
22	65	504
23	68	502
24	71	499
25	74	495
26	77	493
27	81	499
28	84	496
29	87	493
30	89	490
31	92	485
32	96	488
33	99	484
34	102	481
35	104	477
36	107	473
37	111	473
38	113	469
39	116	466
40	119	462
41	122	459
42	125	458
43	128	456
44	132	455
45	135	453
46	138	451
47	141	447
48	144	444
49	146	440
50	149	437
51	152	434
52	155	431
53	158	428
54	161	424
55	163	420
56	166	417
57	169	415
58	172	412
59	175	409
60	178	405
61	180	402
62	183	399
63	186	396
64	189	393
65	192	390
66	194	386
67	197	383
68	200	380
69	202	376
70	205	373
71	208	370
72	211	367
73	214	365
74	217	363
75	220	360
76	223	357
77	226	354
78	229	351
79	232	348
80	235	345
81	237	342
82	240	339
83	244	337
84	247	334
85	250	331
86	253	329
87	256	326
88	259	323
89	262	321
90	265	318
91	269	315
92	272	313
93	275	310
94	277	307
95	280	304
96	283	301
97	286	298
98	290	295
99	293	293
100	296	290
101	299	287
102	302	284
103	305	281
104	308	278
105	311	276
106	314	273
107	317	270
108	320	267
109	323	264
110	327	262
111	331	260
112	335	257
113	338	255
114	341	252
115	344	249
116	347	246
117	350	243
118	353	240
119	357	238
120	361	235
121	364	233
122	367	230
123	370	227
124	374	224
125	377	221
126	380	218
127	383	215
128	386	212
129	389	209
130	392	206
131	395	203
132	398	200
133	401	197
134	404	194
135	407	191
136	410	188
137	413	185
138	416	182
139	419	179
140	422	176
141	425	173
142	428	170
143	431	167
144	435	165
145	438	162
146	441	159
147	444	156
148	447	153
149	450	150
150	453	147
151	456	144
152	459	141
153	462	138
154	465	135
155	468	132
156	471	129
157	474	126
158	477	123
159	480	120
160	483	117
161	486	114
162	489	111
163	492	108
164	495	105
165	498	102
166	501	99
167	504	96
168	507	93
169	510	90
170	514	87
171	517	84
172	519	81
173	523	78
174	526	75
175	529	72
176	531	69
177	534	66
178	538	63
179	541	60
180	544	57
181	547	54
182	551	51
183	554	48
184	557	45
185	560	42
186	563	39
187	566	36
188	569	33
189	572	30
190	574	27
191	577	24
192	580	21
193	583	18
194	585	15
195	588	12
196	591	9
197	594	6
198	597	3
199	600	0
